"ID","Age","Experience","Income","ZIP Code","Family","CCAvg","Education","Mortgage","Personal Loan","Securities Account","CD Account","Online","CreditCard"
118,58,33,61000,92833,2,2300,"Advanced/Professional",193000,"0","0","0","1","0"
119,41,16,73000,92647,3,3000,"Undergrad",0,"0","0","0","1","0"
120,32,7,112000,94304,1,4600,"Undergrad",366000,"0","0","0","0","0"
121,54,29,12000,90057,2,200,"Advanced/Professional",0,"0","0","0","1","0"
122,52,26,38000,91711,3,900,"Advanced/Professional",0,"0","0","0","1","0"
123,58,32,73000,94523,2,700,"Graduate",0,"0","0","0","1","1"
124,37,13,84000,92130,1,3600,"Graduate",0,"0","1","0","0","0"
125,39,15,78000,92121,4,2400,"Undergrad",118000,"0","0","0","1","0"
126,60,35,80000,91301,3,500,"Undergrad",0,"0","0","0","1","0"
127,31,5,115000,92096,2,1300,"Undergrad",101000,"0","0","0","1","1"
128,34,8,82000,92646,1,2700,"Graduate",251000,"0","0","0","1","0"
129,38,14,74000,92182,2,0,"Undergrad",0,"0","1","0","1","0"
130,41,16,70000,92131,3,500,"Advanced/Professional",0,"0","0","0","0","1"
131,28,4,81000,94801,3,1500,"Undergrad",276000,"0","0","0","1","0"
132,58,34,149000,93720,4,7200,"Graduate",0,"1","0","1","1","1"
133,31,1,51000,90840,2,1750,"Advanced/Professional",0,"0","0","0","0","0"
134,30,4,39000,90245,3,1100,"Graduate",0,"0","0","0","1","0"
135,53,29,98000,95035,3,1800,"Graduate",0,"0","0","0","0","0"
136,58,33,45000,93010,4,2100,"Undergrad",0,"0","0","0","1","1"
137,59,32,49000,95035,4,2500,"Graduate",0,"0","0","0","1","0"
138,49,25,128000,95054,2,400,"Undergrad",0,"0","0","0","0","0"
139,59,34,42000,94928,3,1500,"Undergrad",0,"0","1","1","0","1"
140,59,35,18000,93305,1,1200,"Advanced/Professional",0,"0","0","0","1","0"
141,51,25,31000,90245,2,400,"Advanced/Professional",161000,"0","0","0","1","1"
142,35,11,58000,95831,3,2000,"Undergrad",149000,"0","0","0","1","1"
143,33,9,48000,91770,1,2100,"Advanced/Professional",0,"0","0","0","0","1"
144,25,1,54000,94117,4,1600,"Undergrad",0,"0","0","0","1","1"
145,49,23,70000,92093,2,1500,"Graduate",0,"0","0","0","0","0"
146,59,35,124000,90007,1,7400,"Undergrad",0,"0","0","0","0","1"
147,46,19,84000,94102,1,2670,"Graduate",0,"0","0","0","1","1"
148,50,25,83000,94542,4,3600,"Advanced/Professional",188000,"0","0","0","1","0"
149,52,28,163000,91423,2,400,"Undergrad",116000,"0","0","0","1","0"
150,48,22,42000,93955,3,2200,"Graduate",0,"0","0","0","0","0"
151,46,22,118000,94107,2,7500,"Undergrad",0,"0","0","1","1","1"
152,26,0,132000,92834,3,6500,"Advanced/Professional",0,"1","0","0","0","1"
153,57,32,24000,93117,1,1300,"Undergrad",0,"0","0","0","1","1"
154,60,36,22000,94551,2,1000,"Undergrad",0,"0","1","1","1","1"
155,54,29,58000,92612,4,1300,"Advanced/Professional",0,"0","0","0","0","0"
156,24,0,60000,94596,4,1600,"Undergrad",0,"0","0","0","1","0"
157,26,0,15000,92131,4,400,"Undergrad",0,"0","0","0","0","1"
158,41,17,83000,94025,4,2670,"Undergrad",0,"0","0","0","1","1"
159,32,6,79000,94720,2,1500,"Advanced/Professional",0,"0","0","0","1","1"
160,61,35,41000,94545,4,1700,"Graduate",0,"0","1","0","1","0"
161,29,0,134000,95819,4,6500,"Advanced/Professional",0,"1","0","0","0","0"
162,61,35,80000,95053,2,2800,"Undergrad",0,"0","0","0","1","0"
163,38,12,52000,90036,1,2000,"Undergrad",0,"0","0","0","0","0"
164,28,4,70000,91125,4,2600,"Undergrad",0,"0","0","0","1","0"
165,53,27,92000,95120,2,1100,"Undergrad",0,"0","1","0","0","0"
166,27,1,43000,94706,1,1500,"Undergrad",0,"0","0","0","1","0"
167,25,1,21000,95827,3,1000,"Graduate",0,"0","0","0","0","0"
168,33,9,23000,94305,3,900,"Advanced/Professional",0,"0","0","0","1","1"
169,50,26,13000,91320,4,1000,"Undergrad",0,"0","0","0","1","0"
170,27,1,112000,90503,4,2100,"Advanced/Professional",0,"0","0","0","0","1"
171,27,1,138000,90250,2,2000,"Undergrad",0,"0","0","0","1","0"
172,52,28,11000,95817,3,400,"Undergrad",0,"0","1","0","0","0"
173,38,13,171000,92717,2,7800,"Undergrad",0,"0","0","0","1","0"
174,58,34,42000,90095,4,1500,"Undergrad",0,"0","0","0","1","1"
175,42,17,168000,95503,2,7900,"Graduate",0,"1","0","0","1","0"
176,45,20,85000,91711,4,1100,"Graduate",0,"0","1","0","1","0"
177,52,25,44000,93111,3,1000,"Graduate",135000,"0","0","0","1","0"
178,29,3,65000,94132,4,1800,"Graduate",244000,"0","0","0","0","0"
179,53,29,24000,95818,4,200,"Undergrad",0,"0","0","0","1","1"
180,62,37,11000,91942,1,100,"Undergrad",0,"0","0","0","1","0"
181,51,27,38000,90401,2,1000,"Advanced/Professional",164000,"0","0","0","1","0"
182,36,12,10000,93524,4,700,"Graduate",81000,"0","0","0","0","0"
183,24,0,135000,95133,1,1500,"Undergrad",0,"0","0","0","1","0"
184,29,3,148000,92173,3,4100,"Undergrad",0,"1","0","0","1","0"
185,52,26,63000,92717,2,1500,"Graduate",0,"0","1","0","1","0"
186,39,14,115000,91320,1,1000,"Advanced/Professional",0,"0","0","0","1","0"
187,48,23,45000,95616,1,300,"Undergrad",0,"0","0","0","1","1"
188,46,21,159000,94305,3,1900,"Advanced/Professional",315000,"1","0","0","1","0"
189,64,40,169000,91320,2,2100,"Undergrad",122000,"0","0","0","1","0"
190,55,29,112000,94043,2,1400,"Undergrad",0,"0","0","0","1","0"
191,60,36,93000,92521,1,4300,"Undergrad",0,"0","0","0","1","0"
192,51,25,29000,90404,1,300,"Advanced/Professional",140000,"0","0","0","0","0"
193,50,23,85000,92122,1,2670,"Graduate",0,"0","0","0","1","0"
194,48,24,21000,93118,4,600,"Undergrad",0,"0","0","0","1","1"
195,53,29,144000,92697,2,6800,"Undergrad",0,"0","0","0","1","0"
196,34,10,13000,94577,4,1000,"Undergrad",95000,"0","1","0","1","0"
197,48,24,165000,93407,1,5000,"Undergrad",0,"0","0","0","0","1"
198,55,31,9000,91345,4,700,"Undergrad",89000,"0","0","0","1","0"
199,27,3,59000,94123,4,0,"Undergrad",90000,"0","1","0","1","0"
200,36,11,158000,92152,1,5100,"Advanced/Professional",0,"1","0","1","1","1"
201,32,6,29000,91355,1,1900,"Advanced/Professional",0,"0","0","0","1","1"
202,35,9,20000,94609,2,1400,"Advanced/Professional",0,"0","0","0","1","1"
203,30,3,68000,94306,4,2000,"Graduate",0,"0","0","0","1","0"
204,58,34,65000,95747,4,2200,"Undergrad",0,"0","0","0","1","0"
205,56,31,61000,96150,2,1900,"Graduate",105000,"0","0","0","0","0"
206,38,12,91000,95616,4,1400,"Graduate",1e+05,"0","0","0","0","1"
207,49,25,31000,91355,1,1000,"Undergrad",0,"0","1","0","1","0"
208,34,10,71000,94115,4,100,"Graduate",0,"0","0","0","0","0"
209,40,16,73000,94110,4,2670,"Undergrad",0,"0","0","0","1","1"
210,64,39,172000,94707,4,3100,"Undergrad",282000,"1","0","1","1","1"
211,51,26,20000,92131,2,0,"Undergrad",0,"0","0","0","0","0"
212,44,18,55000,94720,1,200,"Undergrad",0,"0","0","0","0","0"
213,46,22,69000,91604,2,1700,"Undergrad",209000,"0","0","0","0","0"
214,57,33,155000,91326,1,7400,"Undergrad",0,"0","0","0","1","0"
215,54,28,94000,90291,1,1900,"Graduate",0,"0","0","0","0","0"
216,38,14,92000,95818,2,0,"Undergrad",249000,"0","0","0","1","1"
217,27,3,125000,95521,2,600,"Undergrad",0,"0","0","0","0","0"
218,39,14,74000,94305,3,3000,"Undergrad",0,"0","0","0","0","0"
219,44,20,72000,92807,3,300,"Advanced/Professional",0,"0","0","0","1","0"
220,56,30,61000,94707,1,2200,"Advanced/Professional",0,"0","0","0","1","1"
221,32,6,25000,92130,2,300,"Undergrad",0,"0","0","0","0","1"
222,45,19,83000,95051,2,1700,"Graduate",0,"0","0","0","1","0"
223,26,2,104000,94306,3,2500,"Undergrad",0,"0","0","0","0","0"
224,55,25,41000,95014,3,1000,"Advanced/Professional",0,"0","0","0","1","0"
225,52,27,58000,94305,4,1800,"Advanced/Professional",91000,"0","0","0","0","0"
226,39,13,93000,94720,1,1500,"Advanced/Professional",0,"0","0","0","0","1"
227,24,0,39000,94085,2,1700,"Graduate",0,"0","0","0","0","0"
228,47,23,148000,94551,2,7500,"Undergrad",0,"0","0","1","1","1"
229,47,22,53000,92677,4,1900,"Advanced/Professional",98000,"0","1","1","0","1"
230,48,24,71000,93117,2,1700,"Undergrad",145000,"0","0","0","0","1"
231,47,22,92000,94720,1,2800,"Graduate",0,"0","0","0","1","0"
232,35,10,61000,94304,4,2100,"Advanced/Professional",0,"0","0","0","1","0"
233,46,19,38000,94122,3,2500,"Graduate",135000,"0","0","0","0","0"
234,62,37,58000,91320,4,1700,"Undergrad",0,"0","0","0","1","0"
235,26,1,80000,95616,1,800,"Graduate",150000,"0","0","0","0","0"
236,38,8,71000,94720,4,1800,"Advanced/Professional",0,"0","0","0","1","0"
237,43,18,89000,93407,3,500,"Advanced/Professional",0,"0","0","0","1","1"
238,62,38,83000,92521,1,1800,"Advanced/Professional",0,"0","0","0","1","0"
239,57,32,28000,95831,3,200,"Undergrad",0,"0","0","0","1","1"
240,28,3,52000,94112,4,1700,"Graduate",0,"0","0","0","0","0"
241,51,26,70000,90089,1,1200,"Undergrad",169000,"0","0","0","0","0"
242,48,22,71000,91711,1,1400,"Advanced/Professional",0,"0","0","0","0","1"
243,41,16,75000,94005,1,3700,"Advanced/Professional",280000,"0","0","0","0","0"
244,65,39,170000,90095,3,7900,"Advanced/Professional",99000,"1","0","1","1","0"
245,41,17,78000,94025,4,800,"Undergrad",78000,"0","0","0","1","0"
246,35,11,25000,92614,2,1000,"Graduate",0,"0","0","0","0","0"
247,38,14,60000,94025,2,600,"Advanced/Professional",0,"0","0","0","1","1"
248,53,29,120000,92626,4,2700,"Graduate",111000,"1","1","1","1","0"
249,55,29,99000,92121,2,1400,"Undergrad",264000,"0","0","0","1","1"
250,26,1,55000,90089,3,2600,"Advanced/Professional",113000,"0","0","0","0","1"
251,30,6,29000,94305,3,1000,"Graduate",117000,"0","0","0","0","0"
252,54,28,170000,92182,2,6200,"Graduate",325000,"1","0","0","1","0"
253,65,40,53000,91711,3,2200,"Undergrad",0,"0","0","0","0","1"
254,47,21,138000,94583,1,0,"Undergrad",0,"0","0","0","0","0"
255,65,41,134000,91942,3,3900,"Advanced/Professional",121000,"1","0","0","1","0"
256,66,40,42000,92103,2,700,"Advanced/Professional",138000,"0","0","0","0","1"
257,26,0,99000,92697,4,2300,"Advanced/Professional",0,"0","0","0","0","1"
258,66,41,18000,92691,3,500,"Undergrad",0,"0","0","0","0","1"
259,35,9,24000,95747,4,300,"Undergrad",0,"0","0","0","1","0"
260,56,30,55000,94107,1,1400,"Undergrad",77000,"0","0","0","1","0"
261,51,27,58000,92407,1,0,"Undergrad",0,"0","0","0","0","1"
262,42,16,111000,93106,2,1200,"Advanced/Professional",251000,"1","0","0","1","0"
263,49,23,33000,90245,1,300,"Advanced/Professional",0,"0","0","1","1","1"
264,27,1,74000,92121,4,1800,"Graduate",112000,"0","0","0","1","1"
265,45,19,38000,90840,2,700,"Undergrad",0,"0","0","0","0","0"
266,49,23,23000,94305,4,600,"Advanced/Professional",98000,"0","1","0","0","0"
267,63,38,61000,94720,2,1500,"Undergrad",0,"0","0","0","1","0"
268,47,22,81000,90504,1,2900,"Undergrad",138000,"0","0","0","0","0"
269,64,39,129000,94002,1,2500,"Undergrad",0,"0","0","0","1","0"
270,43,13,33000,95039,1,750,"Advanced/Professional",0,"0","0","0","0","0"
271,60,36,63000,94063,4,2200,"Undergrad",0,"0","0","0","1","0"
272,40,14,70000,94923,4,1400,"Graduate",0,"0","0","0","1","0"
273,29,3,45000,95023,4,200,"Undergrad",158000,"0","0","0","1","1"
274,41,16,65000,90095,3,500,"Advanced/Professional",0,"0","0","0","1","0"
275,30,5,74000,95616,4,2200,"Undergrad",0,"0","1","0","0","1"
276,49,24,50000,94706,4,1800,"Advanced/Professional",0,"0","1","0","0","0"
277,30,5,22000,90058,4,500,"Advanced/Professional",109000,"0","0","0","1","0"
278,29,2,30000,92126,4,1000,"Advanced/Professional",0,"0","0","0","0","0"
279,50,26,21000,91125,4,1000,"Undergrad",0,"0","0","0","1","0"
280,39,14,155000,94577,2,3900,"Undergrad",0,"0","0","0","1","0"
281,33,8,64000,92121,4,2100,"Advanced/Professional",164000,"0","0","0","1","0"
282,57,31,65000,94118,4,2600,"Advanced/Professional",0,"0","0","0","0","1"
283,34,9,71000,91711,4,700,"Advanced/Professional",0,"0","0","0","1","0"
284,61,36,40000,90029,3,500,"Graduate",0,"0","1","0","1","0"
285,44,19,69000,92806,3,500,"Advanced/Professional",0,"0","0","0","1","0"
286,40,13,69000,94305,3,2330,"Graduate",0,"0","0","0","0","0"
287,51,25,45000,94806,3,600,"Graduate",131000,"0","0","0","1","0"
288,37,12,62000,92110,3,700,"Graduate",0,"0","0","0","0","1"
289,44,19,172000,94306,2,4300,"Advanced/Professional",391000,"1","1","1","1","0"
290,42,15,24000,92121,3,1000,"Graduate",0,"0","0","0","1","1"
291,51,25,80000,92373,1,4900,"Undergrad",0,"0","0","0","0","0"
292,43,16,8000,90089,3,670,"Graduate",88000,"0","0","0","1","0"
293,30,5,38000,94542,4,800,"Undergrad",129000,"0","0","0","1","1"
294,45,19,93000,90095,4,2600,"Advanced/Professional",0,"0","0","0","0","0"
295,35,9,55000,94536,1,2000,"Undergrad",0,"0","0","0","1","0"
296,60,34,64000,94304,2,1700,"Advanced/Professional",0,"0","0","0","0","1"
297,34,9,122000,90623,1,0,"Undergrad",0,"0","0","0","1","0"
298,55,25,70000,93720,3,1400,"Advanced/Professional",0,"0","0","0","1","0"
299,43,19,81000,92069,2,3200,"Undergrad",0,"0","0","0","0","0"
300,41,15,159000,90057,1,5500,"Advanced/Professional",0,"1","0","1","1","0"
301,34,9,70000,92843,4,1300,"Undergrad",0,"0","1","0","0","0"
302,65,39,150000,92120,2,6900,"Undergrad",196000,"0","0","0","0","0"
303,45,21,152000,94550,2,7500,"Undergrad",0,"0","0","0","1","0"
304,49,25,195000,95605,4,3000,"Undergrad",617000,"1","0","0","0","0"
305,48,23,22000,90740,1,100,"Undergrad",0,"0","0","0","0","0"
306,60,35,22000,91207,1,1300,"Undergrad",123000,"0","0","0","1","0"
307,55,29,79000,92373,3,800,"Undergrad",0,"0","0","0","1","1"
308,42,18,33000,90401,1,1400,"Advanced/Professional",0,"0","0","0","1","0"
309,32,8,128000,94720,2,4330,"Undergrad",0,"0","0","1","1","1"
310,62,38,91000,95929,1,3800,"Undergrad",0,"0","1","0","1","0"
311,57,32,39000,90277,4,900,"Undergrad",0,"0","0","0","1","1"
312,52,26,121000,94550,1,7300,"Undergrad",167000,"0","0","0","1","0"
313,36,6,21000,91741,1,670,"Advanced/Professional",0,"0","1","0","1","0"
314,34,9,41000,93720,3,2300,"Undergrad",0,"0","0","0","0","1"
315,63,37,45000,93437,2,700,"Advanced/Professional",0,"0","0","0","1","0"
316,24,0,51000,90630,3,300,"Advanced/Professional",0,"0","0","0","1","0"
317,57,31,165000,95054,1,1600,"Graduate",0,"1","0","0","1","0"
318,40,16,119000,91335,2,4200,"Graduate",0,"1","0","0","1","0"
319,27,2,110000,95670,4,1800,"Advanced/Professional",190000,"0","0","0","1","0"
320,65,39,20000,90034,3,700,"Graduate",0,"0","0","0","0","1"
321,60,34,64000,90266,1,800,"Graduate",248000,"0","0","0","0","0"
322,44,20,101000,92717,3,4400,"Graduate",82000,"1","0","0","0","0"
323,63,39,101000,92007,1,3900,"Undergrad",0,"1","1","1","1","0"
324,59,34,99000,90034,1,4400,"Undergrad",0,"1","0","0","0","0"
325,56,30,158000,90089,4,6100,"Undergrad",0,"1","0","0","0","0"
326,54,28,89000,95039,1,1900,"Graduate",0,"0","0","0","1","1"
327,52,27,80000,95616,1,1300,"Advanced/Professional",0,"0","0","1","1","1"
328,58,32,114000,91330,2,2000,"Undergrad",402000,"0","0","0","1","0"
329,60,35,49000,94110,3,500,"Graduate",0,"0","0","0","1","1"
330,28,4,191000,90064,1,6330,"Undergrad",0,"0","0","0","1","0"
331,54,30,78000,92374,4,1000,"Graduate",0,"0","0","0","1","0"
332,32,6,28000,94115,3,1000,"Undergrad",0,"0","0","0","0","0"
333,59,33,42000,95630,1,800,"Graduate",0,"0","0","0","1","0"
334,63,38,140000,92407,1,2500,"Undergrad",0,"0","0","0","0","0"
335,48,23,45000,95053,1,1300,"Graduate",0,"0","0","0","1","0"
336,56,32,122000,95827,2,300,"Undergrad",360000,"0","0","1","1","1"
337,36,12,65000,95051,3,2600,"Graduate",0,"0","0","0","1","0"
338,57,27,68000,94117,1,1400,"Advanced/Professional",0,"0","0","0","1","0"
339,29,3,153000,93657,2,2000,"Undergrad",392000,"0","0","0","0","0"
340,39,13,89000,92110,4,1400,"Graduate",0,"0","0","0","0","0"
341,59,34,91000,93524,1,2600,"Undergrad",0,"0","0","0","1","1"
342,31,6,55000,92038,4,2000,"Graduate",185000,"0","0","0","1","0"
343,43,19,118000,91304,2,3300,"Undergrad",0,"0","0","0","0","1"
344,35,5,22000,93407,1,670,"Advanced/Professional",103000,"0","0","0","0","0"
345,54,24,63000,92606,3,1400,"Advanced/Professional",138000,"0","0","0","1","1"
346,51,27,12000,92192,4,500,"Graduate",78000,"0","1","0","1","0"
347,44,19,50000,90745,3,2700,"Graduate",0,"0","0","0","1","0"
348,25,0,43000,94305,2,1600,"Advanced/Professional",0,"0","1","1","1","1"
349,40,15,173000,95060,4,6600,"Undergrad",0,"1","0","1","1","1"
350,26,2,60000,93407,2,3000,"Undergrad",132000,"1","0","0","0","0"
351,39,14,113000,94301,1,1000,"Advanced/Professional",0,"0","1","0","1","0"
352,28,4,155000,92182,4,5300,"Graduate",0,"1","0","0","1","0"
353,52,28,91000,92692,4,1000,"Graduate",0,"0","0","0","0","1"
354,53,29,55000,95818,4,1100,"Graduate",0,"0","0","0","1","0"
355,44,20,173000,90277,2,1400,"Undergrad",419000,"0","0","0","1","0"
356,43,19,71000,92101,3,300,"Advanced/Professional",0,"0","0","0","0","1"
357,56,30,24000,94704,2,400,"Advanced/Professional",88000,"0","0","0","0","0"
358,38,14,42000,94610,1,2000,"Graduate",81000,"0","0","0","1","0"
